datetime,temp,dew,humidity,precip,preciptype,snow,windspeed,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,conditions,description,icon,,holidays
4/10/2023,11.8,-0.7,44.8,0,nothing,0,17.2,16,234.4,20.1,9,10,2023-04-10T06:39:18,2023-04-10T19:40:19,Clear,Clear conditions throughout the day.,clear-day,,workday
4/11/2023,15.7,1.1,41.8,0,nothing,0,19.2,16,219.5,19,9,10,2023-04-11T06:37:48,2023-04-11T19:41:17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/12/2023,20.9,6.7,44.1,0,nothing,0,26.9,16,216.8,18.7,8,10,2023-04-12T06:36:19,2023-04-12T19:42:15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,,workday
4/13/2023,21.9,8.4,47,0,nothing,0,17.8,16,232.3,20.1,9,10,2023-04-13T06:34:51,2023-04-13T19:43:13,Clear,Clear conditions throughout the day.,clear-day,,workday
4/14/2023,20.3,12.7,63.4,0,nothing,0,23.3,15.9,130.4,11.2,6,10,2023-04-14T06:33:23,2023-04-14T19:44:10,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/15/2023,20.3,17.2,83.6,9.046,rain,0,21.7,15.5,139.3,12.2,7,10,2023-04-15T06:31:56,2023-04-15T19:45:08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,,workday
4/16/2023,21.3,16,74.1,0,nothing,0,22.2,15.9,134,11.6,6,10,2023-04-16T06:30:29,2023-04-16T19:46:06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/17/2023,16.9,4.6,46.3,0.27,rain,0,34.5,16,159.5,13.6,8,10,2023-04-17T06:29:04,2023-04-17T19:47:04,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,,holidays
4/18/2023,16,-1,35.7,0,nothing,0,26.8,16,223.5,19.5,9,10,2023-04-18T06:27:39,2023-04-18T19:48:02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
4/19/2023,15.5,2.3,43.6,0,nothing,0,18.3,16,223.6,19.4,9,10,2023-04-19T06:26:14,2023-04-19T19:49:00,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,,workday
4/20/2023,20.4,11.6,60.3,0,nothing,0,16,15.8,218.6,19,9,10,2023-04-20T06:24:51,2023-04-20T19:49:58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,,workday
